"id","zobrazení","zobrazení_lat","nazev_cz","nazev_lat","url","skupina","nemoci","tcm_organy","ucinky","Cast-rostliny","sběr","stanoviště","barva kvetu","obsahové látky","kontraindikace","Jak se užívá","Lidové názvy","Bezpečnost","zobrazení"
"R0011","Bez červený","Sambucus racemosa","bez_cerveny","sambucus_racemosa","https://www.brvohorik.cz/l/bez-cerveny/","ker","nachlazeni | chripka | kasel | zanety_dychacich_cest | horecka | oslabena_imunita | otoky | revmaticke_potize","plíce | krevní_oběh | močový_měchýř | ledviny","potopudne | mocopudne | protizanetlive | detoxikacni | imunostimulacni | antioxidantni | snizuje_horecku | podporuje_poceni","plod | kvet","kvet: duben | kveten ; plod: cerven | cervenec","lesy | lesni_okraje | zahrady","bila","Flavonoidy: quercetin | rutin ; Triterpeny: kyselina oleanolová ; Vitaminy: vitamin C","těhotenství | kojení | alergie na rostliny z čeledi Adoxaceae","nálev | odvar | tinktura | sirup | čerstvá šťáva","křídlatka | bezí | bezuška | bezuška červená | bez červený | stromeček | červený bez","2","on"
"R0012","Bez chebdí","Sambucus ebulus","bez_chebdi","sambucus_ebulus","https://www.brvohorik.cz/l/bez-chebdi/","bylina",,,,"plod | oddenek","plod: srpen | zari ; oddenek: brezen | duben | rijen | listopad","lesni_okraje | lesni_cesty | paseky | krovinne_strane | vinice | rumiste","bila | ruzova","Silice: karvon | limonen ; Flavonoidy: quercetin | kaempferol ; Triterpeny: oleanolová kyselina | ursolová kyselina ; Fenolické kyseliny: kyselina kávová ; Saponiny: sambucigenin","těhotenství | kojení | alergie na rostliny z čeledi Adoxaceae | otrava po požití nezralých plodů","nálev | odvar | tinktura | sirup | čerstvá šťáva","bez černý | bez člunkový | bez hluchavkový","3","on"
"R0013","Bledule jarní","Leucojum vernum","bledule_jarni","leucojum_vernum","https://www.brvohorik.cz/l/bledule-jarni/","bylina",,,,"cibule | kvet","cibule: zari | rijen ; kvet: unor | brezen","vlhke_louky | luzni_lesy | brehy_potoku","bila","Alkaloidy: galantamin ; Glykosidy: leucojumin ; Saponiny: leucojunin ; Třísloviny: kyselina galová ; Flavonoidy: kvercetin | kaempferol","toxicity při požití | alergie na rostliny z čeledi Amaryllidaceae","tinktura | odvar","sněženka | kalužník","3","on"
"R0014","Bodlák obecný","Carduus acanthoides","bodlák_obecný","carduus_acanthoides","https://www.brvohorik.cz/l/bodlak-obecny/","bylina",,,,"koren | nat","nat: cerven | cervenec | srpen (koren)-koren: zari | rijen","rumiste | louky | u_cest","fialova","Silice: žádné; Flavonoidy: žádné; Alkaloidy: žádné; Glykosidy: žádné; Saponiny: žádné; Triterpeny: žádné; Fenolické kyseliny: žádné; Třísloviny: žádné; Hořčiny: hořčiny; Slizy: žádné; Vitaminy: žádné; Minerální látky: žádné","alergie na rostliny z čeledi Asteraceae | současné užívání antikoagulancií","nálev | odvar | tinktura","bodlák | bodlák jedovatý | bodlák hlíznatý | pichlavý bodlák","1","on"
"R0015","Bolehlav plamatý","Conium maculatum","bolehlav_plamaty","conium_maculatum","https://www.brvohorik.cz/l/bolehlav-plamaty/","bylina",,,,"nat | koren","nat: cerven | cervenec ; koren: zari | rijen","rumiste | u_cest | brehy_vod | krovinne_porosty","bila","Alkaloidy: coniin | conicein | γ-conicein ; Třísloviny: kyselina galová | kyselina elagová","toxické účinky | smrtelná otrava | těhotenství | kojení","nálev | odvar | tinktura","bolehlav | jedovatý bolehlav | bolehlav bělavý","3","on"
"R0016","Bolševník obecný","Heracleum sphondylium","bolsevnik_obecny","heracleum_sphondylium","https://www.brvohorik.cz/l/bolsevnik-obecny/","bylina",,,,"koren | nat","koren: zari | rijen ; nat: kveten | cerven | cervenec","louky | u_cest | vlhke_louky | rumiste","bila","Silice:  β-felandren | α-pinen ; Flavonoidy: rutinosid | quercetin | kaempferol ; Třísloviny: kyselina chlorogenová ; Vitaminy: vitamin C | vitamin A ; Minerální látky: vápník | draslík","alergie na rostliny z čeledi Apiaceae | citlivost na slunce | těhotenství | kojení","nálev | odvar | tinktura | čerstvá šťáva","sněhulák | bolševník | bolševník lesní | bolševník lékařský | petřezel | petřezel lesní | prasátko","2","on"
"R0017","Borovice černá","Pinus nigra","borovice_cerna","pinus_nigra","https://www.brvohorik.cz/l/borovice-cerna/","strom","nachlazeni | kasel | zanety_dychacich_cest",,"antisepticke | expektoracni | protizanetlive | posiluje_imunitu","jehlice | pupeny | pryskyrice","pupeny: brezen | duben ; jehlice: celorocne ; pryskyrice: celorocne","lesy | parky | pestovane_plochy","zluta","Silice: terpinen-4-ol | α-pinene | β-pinene ; Flavonoidy: quercetin | kaempferol ; Třísloviny: kyselina galová | kyselina elagová ; Vitaminy: vitamin C | vitamin E ; Minerální látky: draslík | vápník | hořčík | železo","alergie na borovici | těhotenství | kojení | chudokrevnost","silice | dřevo | pryskyřice","borovice černá | turek | moravská borovice | černá borovice","1","on"
"R0018","Borovice přímořská","Pinus pinaster","borovice_primorska","pinus_pinaster","https://www.brvohorik.cz/l/borovice-primorska/","strom","nachlazeni | kasel | zanety_dychacich_cest | oslabená_imunita",,"antisepticke | expektoracni | protizanetlive | posiluje_imunitu","jehlice | pryskyrice | kura","jehlice: celorocne ; pryskyrice: celorocne ; kura: jaro | podzim","primorske_oblasti | pestovane_plochy","zluta","Silice: pinene | camphene | limonene ; Flavonoidy: quercetin | kaempferol ; Fenolické kyseliny: kyselina rozmarýnová | kyselina p-kumarová ; Třísloviny: proantokyanidiny","těhotenství | kojení | alergie na borovici | užívání léků na ředění krve","pryskyřice | dřevo | esenciální olej","mořská borovice | borovice švýcarská | borovice lesní | borovice užitková","2","on"
"R0019","Borovice sosna","Pinus sylvestris","borovice_sosna","pinus_sylvestris","https://www.brvohorik.cz/l/borovice-sosna/","strom","nachlazeni | kasel | zanety_dychacich_cest | revmaticke_potize",,"antisepticke | expektoracni | protizanetlive | prohrejvaci","jehlice | pupeny | pryskyrice","pupeny: brezen | duben ; jehlice: celorocne ; pryskyrice: celorocne","lesy | pisky | horske_oblasti","zluta","Silice: pinene | limonene ; Flavonoidy: quercetin | kaempferol ; Třísloviny: catechin | epicatechin ; Vitaminy: vitamin A | vitamin C | vitamin E ; Minerální látky: draslík | vápník | hořčík | železo","alergie na pryskyřici | těhotenství | kojení","směs do likérů | pryskyřice | olej | dřevo na konstrukce | palivo","borovice | sosna | lesní borovice | strom života | borovice lesní","1","on"
"R0020","Broskvoň obecná","Prunus persica","broskvon_obecna","prunus_persica","https://www.brvohorik.cz/l/broskvon-obecna/","strom",,,,"plod | list | kvet","kvet: brezen | duben ; plod: cervenec | srpen | zari ; list: kveten | cerven","zahrady | sady | pestovane_plochy","ruzova","Silice: benzaldehyd ; Flavonoidy: kvercetin | kaempferol | myricetin ; Vláknina: celulóza ; Vitaminy: vitamin C | vitamin A | vitamin E ; Minerální látky: draslík | hořčík | měď ; Organické kyseliny: kyselina jablečná | kyselina citronová","těhotenství | alergie na rostliny z čeledi Rosaceae","čerstvé plody | kompot | džem | sirup | pečené | sušené plody","broskev | broskve | svatý Jakub",,"on"
"R0021","Brusnice borůvka","Vaccinium myrtillus","brusnice_boruvka","vaccinium_myrtillus","https://www.brvohorik.cz/l/brusnice-boruvka/","ker","prujem | zanety_mocovych_cest | oslabená_imunita | potize_se_zrakem",,"svíravé | protizanetlive | antioxidantni | podporuje_zrak | dezinfekcni_na_mocove_cesty","plod | list","plod: cervenec | srpen ; list: kveten | cerven","lesy | horske_lesy | kyselé_pudy","ruzova | zelena","Triterpeny: kyselina ursolová ; Fenolické kyseliny: kyselina chlorogenová | kyselina kávová ; Flavonoidy: antokyany | quercetin | myricetin ; Vitaminy: vitamin C | vitamin E ; Minerální látky: mangan | železo | měď | zinek","těhotenství | kojení | diabetes | alergie na rostliny z čeledi Ericaceae","nálev | odvar | tinktura | sirup | čerstvá šťáva | sušené plody","borůvka | borůvčička | modřín | modřinkovec | borůvčí | černý rybíz lesní | lesní borůvka | brslen jasanovitý | černá borůvka | borůvčí hrozen","1","on"
"R0022","Brusnice brusinka","Vaccinium vitis-idaea","brusnice_brusinka","vaccinium_vitis-idaea","https://www.brvohorik.cz/l/brusnice-brusinka/","ker","zanety_mocovych_cest | zanet_mocoveho_mechyre | bakterialni_infekce_mocovych_cest | prujem",,"dezinfekcni_na_mocove_cesty | protizanetlive | svíravé | antioxidantni","plod | list","plod: zari | rijen ; list: kveten | cerven","lesy | vresoviste | horske_oblasti","bila | ruzova","Silice: kafr | myrcen | limonen ; Flavonoidy: quercetin | myricetin ; Fenolické kyseliny: kyselina benzoová | kyselina skořicová ; Třísloviny: ellagová kyselina | kyselina gallová ; Vitaminy: vitamin C | vitamin E ; Minerální látky: železo | mangan | draslík","těhotenství | kojení | alergie na rostliny z čeledi Ericaceae | onemocnění ledvin","čerstvé plody | marmeláda | džem | sirup | čaj | tinktura","brusinka | kostivalka | lesní borůvka | kanadská brusinka | kyselá borůvka | brusinková bylina","1","on"
"R0023","Brutnák lékařský","Borago officinalis","brutnak_lekarsky","borago_officinalis","https://www.brvohorik.cz/l/brutnak-lekarsky/","bylina","nervove_potize | stres | vycerpani | zanet_ledvin | horecka | revmaticke_bolesti | zanety_mocoveho_mechyre | zanety_dychacich_cest",,"sedativni | mocopudne | protizanetlive | potopudne | cisti_krev | posiluje_nervovy_system | podporuje_metabolismus","nat | semeno","nat: cerven | cervenec ; semeno: srpen | zari","zahrady | pestovane_plochy | zahony","modra","Silice: myrcen | kyselina linolenová | kyselina gama-linolenová ; Flavonoidy: rivin | kaempferol ; Triterpeny: kyselina ursolová | kyselina oleanolová ; Slizy: slizové látky ; Vitaminy: vitamin C | vitamin A ; Minerální látky: draslík | vápník | hořčík","těhotenství | kojící matky | onemocnění jater","nálev | odvar | tinktura | mast | čerstvá šťáva","okurka divoká | nepravý heřmánek | brnění | brutnák","2","on"
"R0024","Bršlice kozí noha","Aegopodium podagraria","brslice_kozi_noha","aegopodium_podagraria","https://www.brvohorik.cz/l/brslice-kozi-noha/","bylina","dna | revma | revmatoidni_artritida | revmatismus | revmaticke_bolesti | bolesti_kloubu | bolesti_svalu | bolesti_zad | bolest_nohou | bolesti_bricha | bolesti | krece | zanety | zanety_mocovych_cest | kozni_zanety | zanety_dychacich_cest | nachlazeni | chripka | otoky | svedeni | tezke_nohy | snizena_funkce_metabolismu | unava | jarni_unava | prekyseleni_organismu","močový_měchýř | ledviny | slezina","analgeticke | antisepticke | antioxidacni | antirevmaticke | imunostimulacni | detoxikacni | cistici | protizanetlive | hojive | mocopudne | odvodnujici | odkyselujici | pomaha_vylucovat_kyselinu_mocovou | zmiruje_otoky | zmirnuje_svedeni | podporuje_funkci_sleziny | posiluje_ledviny | cisti_ledviny | cisti_krev | podporuje_krevni_obeh | posiluje_imunitu | podporuje_traveni | podporuje_dychaci_system | podporuje_metabolismus | ulevuje_od_bolesti | ulevuje_od bolesti pri chripkovem_onemocneni | ulevuje_pri_otocich | urychluje_hojeni_ran_a_odrenin | zmirnuje_krece_bricha | pusobi_jako_prirodni_deodorant | doplnuje_vitamin C","list | oddenek","list: brezen | duben | kveten ; oddenek: zari | rijen | listopad","lesy|krovi|vlhka_stanoviste","bila","Flavonoidy: quercetin | rutina ; Vitaminy: vitamin C | vitamin E ; Minerální látky: draslík | vápník | hořčík | železo ; Třísloviny: kyselina tannová ; Silice: chamazulen | pinen","těhotenství | kojení | gastrointestinální potíže","nálev | odvar | čerstvá šťáva","kostival | kozí noha | bršlice | podagrovník","1","on"
"R0025","Buk lesní","Fagus sylvatica","buk_lesni","fagus_sylvatica","https://www.brvohorik.cz/l/buk-lesni/","strom",,,,"list | plod | kura","list: kveten | cerven ; plod: zari | rijen ; kura: brezen | duben","listnate_lesy | parky | horske_lesy","zelena","Třísloviny: kyselina gallová | ellagová kyselina ; Minerální látky: draslík | vápník | hořčík | železo","alergie na buk | toxické pro domácí zvířata","nálev | dřevo pro výrobu nábytku | dřevo pro výrobu podlah | listy pro krmení zvířat","buch | bukovec | buk lesní","2","on"
"R0026","Bukvice lékařská","Betonica officinalis","bukvice_lekarska","betonica_officinalis","https://www.brvohorik.cz/l/bukvice-lekarska/","bylina","bolesti_hlavy | nervozita | potize_s_travenim | kasel | nachlazeni",,"uklidnujici | protizanetlive | podporuje_traveni | expektoracni | tonizacni","nat | kvet","nat: cerven | cervenec | srpen ; kvet: cerven | cervenec","louky | pastviny | lesni_okraje","fialova","Silice: pinene | camphor ; Flavonoidy: luteolin | apigenin ; Triterpeny: kyselina oleanolová ; Hořčiny: betonicin ; Fenolické kyseliny: kyselina kávová ; Vitaminy: vitamin C","těhotenství | kojení | alergie na rostliny z čeledi Lamiaceae","nálev | odvar | tinktura | čaj | mast","vrbová hlava | meduňková hlava | bujné květy | šedivka | jarní květ","1","on"
"R0027","Buřina srdečník","Leonurus cardiaca","burina_srdecnik","leonurus_cardiaca","https://www.brvohorik.cz/l/burina-srdecnik/","bylina","buseni_srdce | vysoky_krevni_tlak | nervozita | uzkost | menstruační_potize",,"uklidnujici | kardiotonicke | snizuje_krevni_tlak | protikrecove | sedativni","nat","nat: cerven | cervenec | srpen","zahrady | u_cest | rumiste","ruzova | fialova","Silice: α-pinén | β-caryophyllen | borneol | linalool ; Alkaloidy: leonurin | stachydrin ; Flavonoidy: apigenin | luteolin | rutin ; Fenolické kyseliny: kyselina kávová | kyselina rozmarýnová ; Triterpeny: kyselina ursolová | kyselina oleanolová ; Glykosidy: glykosidové formy flavonoidů","těhotenství | kojení | alergie na rostliny z čeledi Lamiaceae | současné užívání sedativ","nálev | tinktura | čaj","srdcovka | mateřídouška srdeční | otec srdcař | buřina srdeční","2","on"
